FullName	Abbv3	Abbv1	properties	properties_group
Alanine	Ala	A	HydrophobicAliphatic	1
Isoleucine	Ile	I	HydrophobicAliphatic	1
Leucine	Leu	L	HydrophobicAliphatic	1
Methionine	Met	M	HydrophobicAliphatic	1
Valine	Val	V	HydrophobicAliphatic	1
Phenylalanine	Phe	F	HydrophobicAromatic	2
Tryptophan	Trp	W	HydrophobicAromatic	2
Tyrosine	Tyr	Y	HydrophobicAromatic	2
Aspartate	Asp	D	ElectricAcidic	3
Glutamate	Glu	E	ElectricAcidic	3
Arginine	Arg	R	ElectricBasic	4
Histidine	His	H	ElectricBasic	4
Lysine	Lys	K	ElectricBasic	4
Asparagine	Asn	N	PolarNeutral	5
Cysteine	Cys	C	PolarNeutral	5
Glutamine	Gln	Q	PolarNeutral	5
Serine	Ser	S	PolarNeutral	5
Threonine	Thr	T	PolarNeutral	5
Glycine	Gly	G	Unique1	6
Proline	Pro	P	Unique2	7
StopCodon	StopCodon	_	StopCodon	8
